number,images,width,height,scale,length
629,157,165,307,1.8606060606060606,3658
633,158,215,334,1.5534883720930233,2280
634,159,215,335,1.558139534883721,8021
640,164,129,239,1.8527131782945736,3623
641,165,103,178,1.7281553398058251,3235
655,173,262,459,1.751908396946565,10631
657,1731,56,96,1.7142857142857142,3326
658,1732,64,110,1.71875,4908
660,1734,119,222,1.865546218487395,15465
665,174,306,511,1.6699346405228759,11439
674,175,248,415,1.6733870967741935,6232
679,1754,49,76,1.5510204081632653,2461
684,1759,85,132,1.5529411764705883,5821
688,1762,62,95,1.532258064516129,3504
702,1775,43,78,1.813953488372093,2488
713,1785,94,144,1.5319148936170213,7446
716,1789,77,140,1.8181818181818181,6460
725,1797,115,211,1.8347826086956522,15590
731,1801,76,117,1.5394736842105263,4965
734,1804,230,390,1.6956521739130435,22628
757,1825,80,148,1.85,7582
776,1843,64,119,1.859375,4340
778,1845,100,184,1.84,12880
783,185,325,511,1.5723076923076924,26195
784,1850,53,91,1.7169811320754718,2288
804,1869,46,75,1.6304347826086956,2371
815,188,278,487,1.7517985611510791,12657
835,1898,48,73,1.5208333333333333,2066
848,1916,47,81,1.7234042553191489,2879
850,1918,46,73,1.5869565217391304,2608
853,1920,40,71,1.775,1750
860,1927,82,147,1.7926829268292683,8318
863,193,276,511,1.8514492753623188,29301
880,1945,134,221,1.6492537313432836,5457
912,1976,73,117,1.6027397260273972,4441
932,1994,47,78,1.6595744680851063,2306
933,1995,79,138,1.7468354430379747,6626
945,2004,35,57,1.6285714285714286,1351
949,2008,42,77,1.8333333333333333,1714
956,2014,32,57,1.78125,1150
963,2020,44,68,1.5454545454545454,1502
1000,2055,113,202,1.7876106194690264,14368
1006,2060,149,241,1.6174496644295302,14745
1007,2061,106,162,1.528301886792453,6985
1010,2064,110,200,1.8181818181818181,13923
1011,2065,74,122,1.6486486486486487,5192
1028,2080,182,276,1.5164835164835164,24396
1037,2089,75,128,1.7066666666666668,4822
1046,2097,68,124,1.8235294117647058,5270
1062,2112,128,202,1.578125,14889
1081,2131,56,90,1.6071428571428572,2993
1085,2135,102,189,1.8529411764705883,10378
1088,2138,92,142,1.5434782608695652,8285
1090,214,281,504,1.793594306049822,3877
1111,2159,282,511,1.8120567375886525,12134
1112,216,240,446,1.8583333333333334,6019
1119,217,275,511,1.8581818181818182,11087
1129,220,331,511,1.5438066465256797,31987
1144,234,269,499,1.8550185873605949,19510
1147,237,295,511,1.7322033898305085,49897
1185,2414,315,511,1.6222222222222222,9685
1264,2486,267,441,1.651685393258427,8040
1291,2510,252,454,1.8015873015873016,2731
1302,2520,180,336,1.8666666666666667,4940
1307,2525,187,327,1.7486631016042782,4162
1318,2535,334,505,1.5119760479041917,4357
1331,2547,296,511,1.7263513513513513,3254
1352,2566,225,341,1.5155555555555555,5181
1363,2577,213,403,1.892018779342723,7166
1388,26,127,207,1.6299212598425197,3416
1396,2606,272,511,1.8786764705882353,8736
1424,2631,282,511,1.8120567375886525,7526
1448,2654,306,511,1.6699346405228759,9338
1451,2657,194,343,1.768041237113402,4521
1455,2660,278,511,1.8381294964028776,6582
1460,2665,298,511,1.7147651006711409,3990
1461,2666,281,511,1.8185053380782918,5118
1467,2671,269,451,1.6765799256505576,9555
1469,2673,338,511,1.5118343195266273,17503
1471,2675,177,309,1.7457627118644068,3770
1476,268,235,376,1.6,10721
1485,2688,295,448,1.5186440677966102,2844
1504,2704,254,420,1.6535433070866141,4752
1509,2709,189,301,1.5925925925925926,14632
1513,2712,293,511,1.7440273037542662,15520
